adjacency list, w
0<-616,0.010000
0<-686,0.010000
0<-613,0.010000
0<-465,0.010000
0<-224,0.010000
0<-754,0.010000
0<-452,0.010000
0<-77,0.010000
0<-703,0.010000
1<-659,0.010000
1<-576,0.010000
1<-86,0.010000
1<-419,0.010000
1<-641,0.010000
1<-354,0.010000
1<-216,0.010000
1<-722,0.010000
1<-439,0.010000
2<-722,0.010000
2<-180,0.010000
2<-127,0.010000
2<-377,0.010000
2<-123,0.010000
2<-253,0.010000
3<-48,0.010000
3<-616,0.010000
3<-507,0.010000
4<-795,0.010000
4<-672,0.010000
4<-325,0.010000
4<-536,0.010000
4<-405,0.010000
4<-364,0.010000
4<-753,0.010000
4<-337,0.010000
4<-136,0.010000
5<-141,0.010000
5<-348,0.010000
5<-786,0.010000
5<-516,0.010000
5<-67,0.010000
6<-522,0.010000
6<-248,0.010000
7<-466,0.010000
7<-120,0.010000
7<-91,0.010000
7<-548,0.010000
7<-23,0.010000
7<-604,0.010000
7<-589,0.010000
8<-400,0.010000
8<-86,0.010000
8<-136,0.010000
8<-125,0.010000
8<-285,0.010000
8<-151,0.010000
8<-120,0.010000
8<-712,0.010000
9<-577,0.010000
9<-250,0.010000
9<-261,0.010000
9<-617,0.010000
9<-608,0.010000
9<-213,0.010000
9<-206,0.010000
9<-702,0.010000
9<-651,0.010000
10<-104,0.010000
10<-61,0.010000
10<-339,0.010000
10<-448,0.010000
10<-180,0.010000
10<-59,0.010000
10<-6,0.010000
10<-2,0.010000
10<-28,0.010000
11<-419,0.010000
11<-121,0.010000
11<-294,0.010000
11<-73,0.010000
11<-284,0.010000
11<-362,0.010000
12<-620,0.010000
12<-531,0.010000
12<-357,0.010000
12<-73,0.010000
12<-372,0.010000
12<-621,0.010000
12<-585,0.010000
12<-102,0.010000
12<-230,0.010000
12<-170,0.010000
12<-463,0.010000
12<-417,0.010000
12<-280,0.010000
12<-736,0.010000
12<-660,0.010000
13<-673,0.010000
13<-784,0.010000
13<-610,0.010000
13<-43,0.010000
13<-120,0.010000
13<-704,0.010000
13<-681,0.010000
13<-539,0.010000
14<-755,0.010000
14<-659,0.010000
14<-663,0.010000
14<-407,0.010000
14<-695,0.010000
14<-61,0.010000
14<-139,0.010000
14<-251,0.010000
14<-206,0.010000
15<-19,0.010000
15<-674,0.010000
15<-155,0.010000
15<-491,0.010000
15<-103,0.010000
15<-714,0.010000
15<-349,0.010000
16<-745,0.010000
16<-659,0.010000
16<-18,0.010000
16<-597,0.010000
17<-392,0.010000
17<-769,0.010000
17<-158,0.010000
17<-309,0.010000
17<-320,0.010000
17<-304,0.010000
17<-597,0.010000
17<-65,0.010000
17<-372,0.010000
17<-353,0.010000
17<-748,0.010000
17<-734,0.010000
18<-201,0.010000
18<-407,0.010000
18<-346,0.010000
18<-709,0.010000
18<-457,0.010000
18<-529,0.010000
19<-389,0.010000
19<-318,0.010000
19<-636,0.010000
19<-120,0.010000
19<-351,0.010000
19<-679,0.010000
19<-718,0.010000
20<-190,0.010000
20<-697,0.010000
20<-115,0.010000
20<-7,0.010000
20<-436,0.010000
20<-554,0.010000
20<-675,0.010000
20<-615,0.010000
20<-231,0.010000
20<-119,0.010000
20<-590,0.010000
20<-565,0.010000
21<-523,0.010000
21<-583,0.010000
21<-31,0.010000
21<-642,0.010000
21<-262,0.010000
21<-602,0.010000
21<-116,0.010000
22<-643,0.010000
22<-686,0.010000
22<-175,0.010000
22<-419,0.010000
22<-126,0.010000
22<-767,0.010000
22<-552,0.010000
22<-477,0.010000
22<-115,0.010000
23<-668,0.010000
23<-87,0.010000
23<-246,0.010000
23<-4,0.010000
23<-109,0.010000
23<-467,0.010000
24<-599,0.010000
24<-288,0.010000
24<-42,0.010000
24<-62,0.010000
24<-606,0.010000
24<-248,0.010000
24<-662,0.010000
24<-720,0.010000
24<-793,0.010000
24<-566,0.010000
24<-147,0.010000
25<-607,0.010000
25<-187,0.010000
25<-76,0.010000
25<-438,0.010000
25<-237,0.010000
25<-788,0.010000
