adjacency list, w
0<-826,0.010000
0<-914,0.010000
0<-953,0.010000
0<-919,0.010000
0<-964,0.010000
0<-940,0.010000
0<-883,0.010000
0<-870,0.010000
0<-887,0.010000
0<-836,0.010000
0<-873,0.010000
0<-899,0.010000
0<-900,0.010000
0<-969,0.010000
0<-866,0.010000
1<-980,0.010000
1<-822,0.010000
1<-863,0.010000
1<-840,0.010000
1<-858,0.010000
1<-891,0.010000
1<-931,0.010000
1<-910,0.010000
1<-824,0.010000
1<-854,0.010000
1<-862,0.010000
1<-934,0.010000
1<-823,0.010000
1<-947,0.010000
1<-827,0.010000
1<-828,0.010000
2<-805,0.010000
2<-811,0.010000
2<-882,0.010000
2<-947,0.010000
2<-834,0.010000
2<-949,0.010000
2<-970,0.010000
2<-851,0.010000
2<-996,0.010000
2<-898,0.010000
2<-997,0.010000
2<-823,0.010000
2<-802,0.010000
2<-994,0.010000
2<-896,0.010000
3<-945,0.010000
3<-950,0.010000
3<-844,0.010000
3<-980,0.010000
3<-995,0.010000
3<-921,0.010000
3<-884,0.010000
3<-937,0.010000
3<-922,0.010000
3<-879,0.010000
3<-912,0.010000
3<-984,0.010000
3<-828,0.010000
3<-816,0.010000
3<-854,0.010000
3<-968,0.010000
3<-960,0.010000
3<-897,0.010000
3<-898,0.010000
4<-858,0.010000
4<-876,0.010000
4<-914,0.010000
4<-996,0.010000
4<-806,0.010000
4<-988,0.010000
4<-869,0.010000
4<-867,0.010000
4<-964,0.010000
4<-874,0.010000
4<-928,0.010000
4<-814,0.010000
4<-976,0.010000
4<-933,0.010000
5<-922,0.010000
5<-823,0.010000
5<-973,0.010000
5<-900,0.010000
5<-812,0.010000
5<-930,0.010000
5<-813,0.010000
5<-843,0.010000
5<-995,0.010000
5<-899,0.010000
5<-848,0.010000
5<-991,0.010000
5<-940,0.010000
5<-847,0.010000
5<-885,0.010000
5<-989,0.010000
5<-858,0.010000
5<-914,0.010000
5<-916,0.010000
5<-896,0.010000
5<-891,0.010000
6<-849,0.010000
6<-950,0.010000
6<-930,0.010000
6<-803,0.010000
6<-901,0.010000
6<-992,0.010000
6<-931,0.010000
6<-924,0.010000
6<-851,0.010000
6<-958,0.010000
6<-840,0.010000
6<-863,0.010000
6<-943,0.010000
6<-934,0.010000
6<-898,0.010000
6<-871,0.010000
6<-976,0.010000
6<-808,0.010000
6<-853,0.010000
6<-828,0.010000
6<-804,0.010000
6<-891,0.010000
