adjacency list, w
0<-616,0.010000
0<-686,0.010000
0<-613,0.010000
0<-465,0.010000
0<-224,0.010000
0<-754,0.010000
0<-452,0.010000
0<-77,0.010000
0<-703,0.010000
0<-484,0.010000
0<-205,0.010000
0<-259,0.010000
0<-399,0.010000
0<-109,0.010000
0<-194,0.010000
0<-105,0.010000
0<-456,0.010000
0<-615,0.010000
0<-477,0.010000
0<-656,0.010000
0<-560,0.010000
0<-335,0.010000
0<-282,0.010000
0<-350,0.010000
0<-147,0.010000
0<-293,0.010000
0<-398,0.010000
0<-403,0.010000
0<-679,0.010000
0<-264,0.010000
0<-707,0.010000
0<-777,0.010000
0<-121,0.010000
0<-460,0.010000
0<-475,0.010000
0<-785,0.010000
0<-272,0.010000
0<-476,0.010000
0<-185,0.010000
0<-734,0.010000
0<-313,0.010000
0<-271,0.010000
0<-29,0.010000
0<-450,0.010000
0<-390,0.010000
0<-86,0.010000
0<-720,0.010000
0<-59,0.010000
0<-267,0.010000
0<-640,0.010000
0<-172,0.010000
0<-768,0.010000
0<-696,0.010000
0<-119,0.010000
0<-404,0.010000
0<-718,0.010000
0<-87,0.010000
0<-345,0.010000
0<-702,0.010000
0<-752,0.010000
0<-797,0.010000
0<-307,0.010000
0<-592,0.010000
0<-329,0.010000
0<-717,0.010000
0<-553,0.010000
0<-587,0.010000
0<-71,0.010000
0<-711,0.010000
0<-709,0.010000
0<-530,0.010000
0<-427,0.010000
0<-226,0.010000
0<-693,0.010000
0<-610,0.010000
0<-487,0.010000
0<-61,0.010000
0<-101,0.010000
0<-454,0.010000
0<-45,0.010000
0<-295,0.010000
0<-445,0.010000
0<-453,0.010000
0<-146,0.010000
0<-358,0.010000
0<-479,0.010000
0<-375,0.010000
0<-305,0.010000
0<-769,0.010000
0<-555,0.010000
0<-583,0.010000
0<-74,0.010000
0<-236,0.010000
0<-384,0.010000
0<-130,0.010000
0<-22,0.010000
0<-447,0.010000
0<-394,0.010000
0<-150,0.010000
0<-140,0.010000
0<-106,0.010000
0<-107,0.010000
0<-102,0.010000
0<-573,0.010000
0<-518,0.010000
0<-633,0.010000
0<-620,0.010000
0<-438,0.010000
0<-599,0.010000
0<-179,0.010000
0<-207,0.010000
0<-72,0.010000
0<-171,0.010000
0<-598,0.010000
0<-648,0.010000
0<-279,0.010000
0<-203,0.010000
0<-582,0.010000
0<-426,0.010000
0<-714,0.010000
0<-366,0.010000
0<-778,0.010000
0<-21,0.010000
0<-397,0.010000
0<-338,0.010000
0<-108,0.010000
0<-634,0.010000
0<-231,0.010000
0<-420,0.010000
0<-524,0.010000
0<-631,0.010000
0<-586,0.010000
0<-466,0.010000
0<-88,0.010000
0<-42,0.010000
0<-705,0.010000
0<-563,0.010000
0<-525,0.010000
0<-729,0.010000
0<-556,0.010000
0<-458,0.010000
0<-160,0.010000
0<-783,0.010000
0<-294,0.010000
0<-251,0.010000
0<-527,0.010000
0<-355,0.010000
0<-311,0.010000
0<-567,0.010000
0<-314,0.010000
0<-93,0.010000
0<-606,0.010000
0<-750,0.010000
0<-644,0.010000
0<-662,0.010000
0<-58,0.010000
0<-33,0.010000
0<-577,0.010000
0<-514,0.010000
0<-242,0.010000
0<-37,0.010000
0<-773,0.010000
0<-505,0.010000
0<-700,0.010000
0<-565,0.010000
1<-659,0.010000
1<-576,0.010000
1<-86,0.010000
1<-419,0.010000
1<-641,0.010000
1<-354,0.010000
1<-216,0.010000
1<-722,0.010000
1<-439,0.010000
1<-67,0.010000
1<-311,0.010000
1<-87,0.010000
1<-720,0.010000
1<-89,0.010000
1<-254,0.010000
1<-162,0.010000
1<-233,0.010000
1<-367,0.010000
1<-524,0.010000
1<-440,0.010000
1<-99,0.010000
1<-217,0.010000
1<-251,0.010000
1<-536,0.010000
1<-92,0.010000
1<-588,0.010000
1<-108,0.010000
1<-111,0.010000
1<-112,0.010000
1<-9,0.010000
1<-644,0.010000
1<-530,0.010000
1<-731,0.010000
1<-199,0.010000
1<-766,0.010000
1<-347,0.010000
