adjacency list, w
0<-964,0.100000
0<-820,0.100000
0<-975,0.100000
0<-816,0.100000
0<-928,0.100000
0<-954,0.100000
0<-904,0.100000
0<-826,0.100000
0<-901,0.100000
0<-883,0.100000
0<-894,0.100000
0<-945,0.100000
0<-832,0.100000
0<-849,0.100000
0<-828,0.100000
0<-813,0.100000
0<-806,0.100000
0<-805,0.100000
0<-980,0.100000
0<-824,0.100000
0<-872,0.100000
0<-839,0.100000
0<-998,0.100000
0<-829,0.100000
0<-921,0.100000
0<-984,0.100000
0<-827,0.100000
0<-947,0.100000
0<-902,0.100000
0<-944,0.100000
0<-836,0.100000
0<-854,0.100000
0<-865,0.100000
0<-967,0.100000
0<-856,0.100000
0<-893,0.100000
0<-932,0.100000
0<-976,0.100000
0<-821,0.100000
0<-974,0.100000
0<-968,0.100000
0<-889,0.100000
0<-868,0.100000
0<-903,0.100000
0<-997,0.100000
0<-969,0.100000
0<-962,0.100000
0<-897,0.100000
0<-991,0.100000
0<-850,0.100000
0<-840,0.100000
0<-863,0.100000
0<-960,0.100000
0<-936,0.100000
0<-983,0.100000
0<-871,0.100000
0<-987,0.100000
0<-864,0.100000
0<-825,0.100000
0<-807,0.100000
0<-890,0.100000
0<-915,0.100000
0<-942,0.100000
0<-973,0.100000
0<-860,0.100000
0<-925,0.100000
0<-800,0.100000
0<-874,0.100000
0<-802,0.100000
0<-938,0.100000
0<-803,0.100000
0<-804,0.100000
0<-819,0.100000
0<-923,0.100000
0<-861,0.100000
0<-843,0.100000
0<-844,0.100000
0<-891,0.100000
0<-848,0.100000
0<-817,0.100000
0<-898,0.100000
0<-958,0.100000
0<-833,0.100000
0<-956,0.100000
0<-905,0.100000
0<-866,0.100000
0<-899,0.100000
0<-937,0.100000
0<-940,0.100000
0<-970,0.100000
0<-977,0.100000
0<-830,0.100000
0<-918,0.100000
0<-971,0.100000
0<-808,0.100000
0<-948,0.100000
0<-885,0.100000
0<-924,0.100000
0<-934,0.100000
0<-852,0.100000
0<-916,0.100000
0<-847,0.100000
0<-811,0.100000
0<-831,0.100000
0<-988,0.100000
0<-858,0.100000
0<-815,0.100000
0<-911,0.100000
0<-877,0.100000
0<-835,0.100000
0<-908,0.100000
0<-982,0.100000
0<-884,0.100000
0<-990,0.100000
0<-887,0.100000
0<-909,0.100000
0<-880,0.100000
0<-851,0.100000
0<-989,0.100000
0<-862,0.100000
0<-838,0.100000
0<-946,0.100000
0<-875,0.100000
0<-846,0.100000
0<-837,0.100000
0<-999,0.100000
0<-842,0.100000
0<-965,0.100000
0<-906,0.100000
0<-910,0.100000
0<-957,0.100000
0<-879,0.100000
0<-895,0.100000
0<-951,0.100000
0<-955,0.100000
0<-933,0.100000
0<-878,0.100000
0<-881,0.100000
0<-981,0.100000
0<-993,0.100000
0<-809,0.100000
0<-927,0.100000
0<-952,0.100000
0<-892,0.100000
0<-859,0.100000
0<-907,0.100000
0<-814,0.100000
0<-900,0.100000
0<-886,0.100000
0<-818,0.100000
1<-932,0.100000
1<-879,0.100000
1<-949,0.100000
1<-804,0.100000
1<-826,0.100000
1<-812,0.100000
1<-806,0.100000
1<-816,0.100000
1<-998,0.100000
1<-811,0.100000
1<-876,0.100000
1<-947,0.100000
1<-936,0.100000
1<-853,0.100000
1<-941,0.100000
1<-997,0.100000
1<-927,0.100000
1<-802,0.100000
1<-869,0.100000
1<-970,0.100000
1<-841,0.100000
1<-985,0.100000
1<-838,0.100000
1<-864,0.100000
1<-837,0.100000
1<-839,0.100000
1<-979,0.100000
1<-843,0.100000
1<-991,0.100000
1<-890,0.100000
1<-865,0.100000
1<-863,0.100000
1<-836,0.100000
1<-848,0.100000
1<-988,0.100000
1<-923,0.100000
1<-818,0.100000
1<-907,0.100000
1<-904,0.100000
1<-953,0.100000
1<-866,0.100000
1<-959,0.100000
1<-994,0.100000
1<-981,0.100000
1<-875,0.100000
1<-850,0.100000
1<-873,0.100000
1<-825,0.100000
1<-902,0.100000
1<-820,0.100000
1<-815,0.100000
1<-832,0.100000
1<-878,0.100000
1<-984,0.100000
1<-930,0.100000
1<-874,0.100000
1<-833,0.100000
1<-821,0.100000
1<-900,0.100000
1<-983,0.100000
1<-928,0.100000
1<-968,0.100000
1<-980,0.100000
1<-883,0.100000
1<-963,0.100000
1<-996,0.100000
1<-831,0.100000
1<-880,0.100000
1<-969,0.100000
1<-901,0.100000
1<-845,0.100000
1<-870,0.100000
1<-989,0.100000
1<-995,0.100000
1<-897,0.100000
1<-972,0.100000
1<-909,0.100000
1<-920,0.100000
1<-827,0.100000
1<-860,0.100000
1<-814,0.100000
1<-910,0.100000
1<-886,0.100000
1<-973,0.100000
1<-810,0.100000
1<-835,0.100000
1<-934,0.100000
1<-840,0.100000
1<-893,0.100000
1<-943,0.100000
1<-914,0.100000
1<-942,0.100000
1<-884,0.100000
1<-954,0.100000
1<-948,0.100000
1<-809,0.100000
1<-805,0.100000
1<-877,0.100000
1<-823,0.100000
1<-906,0.100000
1<-857,0.100000
1<-849,0.100000
1<-977,0.100000
1<-987,0.100000
1<-921,0.100000
1<-922,0.100000
1<-800,0.100000
1<-958,0.100000
1<-916,0.100000
1<-894,0.100000
1<-974,0.100000
1<-929,0.100000
1<-962,0.100000
1<-956,0.100000
1<-986,0.100000
1<-889,0.100000
1<-955,0.100000
1<-852,0.100000
1<-971,0.100000
1<-931,0.100000
1<-951,0.100000
1<-917,0.100000
1<-913,0.100000
1<-882,0.100000
1<-851,0.100000
1<-898,0.100000
1<-861,0.100000
1<-964,0.100000
1<-933,0.100000
1<-976,0.100000
1<-858,0.100000
1<-803,0.100000
1<-992,0.100000
1<-919,0.100000
1<-945,0.100000
1<-896,0.100000
1<-926,0.100000
1<-828,0.100000
1<-899,0.100000
1<-990,0.100000
1<-885,0.100000
1<-872,0.100000
1<-944,0.100000
1<-801,0.100000
1<-961,0.100000
1<-912,0.100000
1<-855,0.100000
1<-937,0.100000
1<-844,0.100000
1<-891,0.100000
1<-842,0.100000
1<-854,0.100000
1<-868,0.100000
1<-813,0.100000
1<-808,0.100000
1<-887,0.100000
1<-925,0.100000
1<-938,0.100000
1<-918,0.100000
1<-905,0.100000
1<-940,0.100000
1<-966,0.100000
2<-955,0.100000
2<-971,0.100000
2<-932,0.100000
2<-801,0.100000
2<-814,0.100000
2<-820,0.100000
2<-873,0.100000
2<-904,0.100000
2<-826,0.100000
2<-974,0.100000
2<-941,0.100000
2<-843,0.100000
2<-945,0.100000
2<-823,0.100000
2<-877,0.100000
2<-923,0.100000
2<-832,0.100000
2<-885,0.100000
2<-936,0.100000
2<-878,0.100000
2<-888,0.100000
2<-914,0.100000
2<-982,0.100000
2<-918,0.100000
2<-821,0.100000
2<-868,0.100000
2<-837,0.100000
2<-905,0.100000
2<-853,0.100000
2<-847,0.100000
2<-977,0.100000
2<-844,0.100000
2<-839,0.100000
2<-872,0.100000
2<-984,0.100000
2<-812,0.100000
2<-978,0.100000
2<-907,0.100000
2<-959,0.100000
2<-976,0.100000
2<-940,0.100000
2<-818,0.100000
2<-800,0.100000
2<-866,0.100000
2<-957,0.100000
2<-835,0.100000
2<-947,0.100000
2<-996,0.100000
2<-935,0.100000
2<-806,0.100000
2<-980,0.100000
2<-989,0.100000
2<-880,0.100000
2<-836,0.100000
2<-884,0.100000
2<-912,0.100000
2<-891,0.100000
2<-986,0.100000
2<-808,0.100000
2<-840,0.100000
2<-953,0.100000
2<-867,0.100000
2<-893,0.100000
2<-901,0.100000
2<-939,0.100000
2<-869,0.100000
2<-857,0.100000
2<-882,0.100000
2<-854,0.100000
2<-831,0.100000
2<-937,0.100000
2<-998,0.100000
2<-942,0.100000
2<-949,0.100000
2<-951,0.100000
2<-954,0.100000
2<-822,0.100000
2<-870,0.100000
2<-983,0.100000
2<-975,0.100000
2<-860,0.100000
2<-966,0.100000
2<-933,0.100000
2<-895,0.100000
2<-999,0.100000
2<-871,0.100000
2<-964,0.100000
2<-909,0.100000
2<-943,0.100000
2<-896,0.100000
2<-988,0.100000
2<-969,0.100000
2<-805,0.100000
2<-944,0.100000
2<-862,0.100000
2<-900,0.100000
2<-863,0.100000
2<-851,0.100000
2<-973,0.100000
2<-852,0.100000
2<-952,0.100000
2<-970,0.100000
2<-848,0.100000
2<-887,0.100000
2<-920,0.100000
2<-926,0.100000
2<-993,0.100000
2<-842,0.100000
2<-815,0.100000
2<-810,0.100000
2<-864,0.100000
2<-846,0.100000
2<-824,0.100000
2<-916,0.100000
2<-833,0.100000
2<-816,0.100000
2<-906,0.100000
2<-803,0.100000
2<-922,0.100000
2<-958,0.100000
2<-913,0.100000
2<-925,0.100000
2<-802,0.100000
2<-946,0.100000
2<-929,0.100000
2<-841,0.100000
2<-931,0.100000
2<-849,0.100000
2<-850,0.100000
2<-813,0.100000
2<-908,0.100000
2<-965,0.100000
2<-859,0.100000
2<-997,0.100000
2<-838,0.100000
2<-856,0.100000
2<-804,0.100000
2<-874,0.100000
2<-817,0.100000
2<-928,0.100000
2<-897,0.100000
2<-876,0.100000
2<-879,0.100000
2<-830,0.100000
2<-961,0.100000
2<-827,0.100000
2<-948,0.100000
2<-924,0.100000
2<-819,0.100000
2<-865,0.100000
2<-889,0.100000
2<-995,0.100000
2<-834,0.100000
2<-892,0.100000
2<-921,0.100000
2<-990,0.100000
2<-807,0.100000
2<-875,0.100000
2<-927,0.100000
2<-855,0.100000
2<-950,0.100000
2<-829,0.100000
2<-881,0.100000
2<-902,0.100000
2<-828,0.100000
3<-981,0.100000
3<-948,0.100000
3<-933,0.100000
3<-881,0.100000
3<-884,0.100000
3<-880,0.100000
3<-905,0.100000
3<-862,0.100000
3<-934,0.100000
3<-977,0.100000
3<-859,0.100000
3<-853,0.100000
3<-824,0.100000
3<-965,0.100000
3<-878,0.100000
3<-846,0.100000
3<-974,0.100000
3<-887,0.100000
3<-944,0.100000
3<-838,0.100000
3<-845,0.100000
3<-922,0.100000
3<-923,0.100000
3<-937,0.100000
3<-913,0.100000
3<-871,0.100000
3<-828,0.100000
3<-939,0.100000
3<-914,0.100000
3<-864,0.100000
3<-992,0.100000
3<-902,0.100000
3<-970,0.100000
3<-807,0.100000
3<-847,0.100000
3<-995,0.100000
3<-876,0.100000
3<-890,0.100000
3<-929,0.100000
3<-931,0.100000
3<-852,0.100000
3<-947,0.100000
3<-997,0.100000
3<-950,0.100000
3<-867,0.100000
3<-877,0.100000
3<-821,0.100000
3<-820,0.100000
3<-910,0.100000
3<-856,0.100000
3<-870,0.100000
3<-903,0.100000
3<-885,0.100000
3<-909,0.100000
3<-813,0.100000
3<-993,0.100000
3<-906,0.100000
3<-915,0.100000
3<-916,0.100000
3<-935,0.100000
3<-912,0.100000
3<-998,0.100000
3<-952,0.100000
3<-835,0.100000
3<-953,0.100000
3<-945,0.100000
3<-832,0.100000
3<-850,0.100000
3<-958,0.100000
3<-819,0.100000
3<-969,0.100000
3<-957,0.100000
3<-841,0.100000
3<-810,0.100000
3<-938,0.100000
3<-893,0.100000
3<-866,0.100000
3<-805,0.100000
3<-840,0.100000
3<-925,0.100000
3<-827,0.100000
3<-967,0.100000
3<-806,0.100000
3<-954,0.100000
3<-901,0.100000
3<-831,0.100000
3<-936,0.100000
3<-921,0.100000
3<-996,0.100000
3<-986,0.100000
3<-988,0.100000
3<-898,0.100000
3<-836,0.100000
3<-897,0.100000
3<-973,0.100000
3<-800,0.100000
3<-875,0.100000
3<-814,0.100000
3<-844,0.100000
3<-962,0.100000
3<-892,0.100000
3<-942,0.100000
3<-982,0.100000
3<-980,0.100000
3<-975,0.100000
3<-815,0.100000
3<-863,0.100000
3<-908,0.100000
3<-895,0.100000
3<-843,0.100000
3<-861,0.100000
3<-971,0.100000
3<-802,0.100000
3<-940,0.100000
3<-823,0.100000
3<-858,0.100000
3<-818,0.100000
3<-972,0.100000
3<-943,0.100000
3<-926,0.100000
3<-837,0.100000
3<-949,0.100000
3<-839,0.100000
3<-860,0.100000
3<-848,0.100000
3<-956,0.100000
3<-812,0.100000
3<-964,0.100000
3<-985,0.100000
3<-894,0.100000
3<-976,0.100000
3<-879,0.100000
3<-857,0.100000
3<-930,0.100000
3<-951,0.100000
3<-855,0.100000
3<-999,0.100000
3<-941,0.100000
3<-946,0.100000
3<-994,0.100000
3<-809,0.100000
3<-889,0.100000
3<-868,0.100000
3<-987,0.100000
3<-911,0.100000
3<-803,0.100000
3<-920,0.100000
3<-849,0.100000
3<-979,0.100000
3<-886,0.100000
3<-917,0.100000
3<-918,0.100000
3<-801,0.100000
3<-842,0.100000
3<-804,0.100000
3<-826,0.100000
3<-904,0.100000
3<-834,0.100000
3<-924,0.100000
3<-900,0.100000
3<-990,0.100000
3<-919,0.100000
3<-927,0.100000
3<-851,0.100000
3<-932,0.100000
3<-829,0.100000
3<-874,0.100000
3<-869,0.100000
3<-872,0.100000
4<-822,0.100000
4<-874,0.100000
4<-872,0.100000
4<-812,0.100000
4<-969,0.100000
4<-809,0.100000
4<-951,0.100000
4<-825,0.100000
4<-980,0.100000
4<-940,0.100000
4<-953,0.100000
4<-852,0.100000
4<-861,0.100000
4<-957,0.100000
4<-855,0.100000
4<-890,0.100000
4<-990,0.100000
4<-865,0.100000
4<-904,0.100000
4<-995,0.100000
4<-936,0.100000
4<-881,0.100000
4<-898,0.100000
4<-869,0.100000
4<-909,0.100000
4<-993,0.100000
4<-816,0.100000
4<-952,0.100000
4<-959,0.100000
4<-950,0.100000
4<-963,0.100000
4<-847,0.100000
4<-828,0.100000
4<-905,0.100000
4<-876,0.100000
4<-989,0.100000
4<-906,0.100000
4<-814,0.100000
4<-845,0.100000
4<-927,0.100000
4<-832,0.100000
4<-862,0.100000
4<-907,0.100000
4<-970,0.100000
4<-900,0.100000
4<-934,0.100000
4<-946,0.100000
4<-931,0.100000
4<-815,0.100000
4<-808,0.100000
4<-813,0.100000
4<-831,0.100000
4<-899,0.100000
4<-800,0.100000
4<-864,0.100000
4<-943,0.100000
4<-848,0.100000
4<-851,0.100000
4<-880,0.100000
4<-983,0.100000
4<-968,0.100000
4<-986,0.100000
4<-962,0.100000
4<-885,0.100000
4<-985,0.100000
4<-895,0.100000
4<-820,0.100000
4<-860,0.100000
4<-914,0.100000
4<-803,0.100000
4<-892,0.100000
4<-921,0.100000
4<-976,0.100000
4<-935,0.100000
4<-889,0.100000
4<-805,0.100000
4<-991,0.100000
4<-871,0.100000
4<-897,0.100000
4<-961,0.100000
4<-971,0.100000
4<-837,0.100000
4<-947,0.100000
4<-930,0.100000
4<-919,0.100000
4<-806,0.100000
