adjacency list, w
0<-616,0.010000
0<-686,0.010000
0<-613,0.010000
0<-465,0.010000
0<-224,0.010000
0<-754,0.010000
0<-452,0.010000
0<-77,0.010000
0<-703,0.010000
0<-484,0.010000
0<-205,0.010000
0<-259,0.010000
0<-399,0.010000
0<-109,0.010000
0<-194,0.010000
0<-105,0.010000
0<-456,0.010000
0<-615,0.010000
0<-477,0.010000
0<-656,0.010000
0<-560,0.010000
0<-335,0.010000
0<-282,0.010000
0<-350,0.010000
0<-147,0.010000
0<-293,0.010000
0<-398,0.010000
0<-403,0.010000
0<-679,0.010000
0<-264,0.010000
0<-707,0.010000
0<-777,0.010000
0<-121,0.010000
0<-460,0.010000
1<-659,0.010000
1<-576,0.010000
1<-86,0.010000
1<-419,0.010000
1<-641,0.010000
1<-354,0.010000
1<-216,0.010000
1<-722,0.010000
1<-439,0.010000
1<-67,0.010000
1<-311,0.010000
1<-87,0.010000
1<-720,0.010000
1<-89,0.010000
1<-254,0.010000
1<-162,0.010000
1<-233,0.010000
1<-367,0.010000
1<-524,0.010000
1<-440,0.010000
1<-99,0.010000
1<-217,0.010000
1<-251,0.010000
1<-536,0.010000
1<-92,0.010000
1<-588,0.010000
1<-108,0.010000
1<-111,0.010000
1<-112,0.010000
1<-9,0.010000
1<-644,0.010000
1<-530,0.010000
1<-731,0.010000
1<-199,0.010000
1<-766,0.010000
1<-347,0.010000
1<-788,0.010000
1<-529,0.010000
1<-583,0.010000
2<-722,0.010000
2<-180,0.010000
2<-127,0.010000
2<-377,0.010000
2<-123,0.010000
2<-253,0.010000
2<-316,0.010000
2<-296,0.010000
2<-101,0.010000
2<-23,0.010000
2<-44,0.010000
2<-328,0.010000
2<-591,0.010000
2<-136,0.010000
2<-597,0.010000
2<-682,0.010000
2<-206,0.010000
2<-785,0.010000
2<-395,0.010000
2<-788,0.010000
2<-95,0.010000
2<-10,0.010000
2<-777,0.010000
2<-384,0.010000
2<-598,0.010000
2<-725,0.010000
2<-350,0.010000
2<-99,0.010000
2<-632,0.010000
2<-137,0.010000
2<-337,0.010000
2<-222,0.010000
2<-162,0.010000
3<-48,0.010000
3<-616,0.010000
3<-507,0.010000
3<-467,0.010000
3<-328,0.010000
3<-362,0.010000
3<-766,0.010000
3<-581,0.010000
3<-603,0.010000
3<-178,0.010000
3<-720,0.010000
3<-782,0.010000
3<-484,0.010000
3<-337,0.010000
3<-550,0.010000
3<-490,0.010000
3<-318,0.010000
3<-448,0.010000
3<-737,0.010000
3<-114,0.010000
3<-66,0.010000
3<-217,0.010000
3<-675,0.010000
3<-486,0.010000
3<-641,0.010000
3<-390,0.010000
3<-394,0.010000
3<-319,0.010000
3<-104,0.010000
3<-481,0.010000
3<-252,0.010000
3<-291,0.010000
3<-8,0.010000
3<-744,0.010000
4<-795,0.010000
4<-672,0.010000
4<-325,0.010000
4<-536,0.010000
4<-405,0.010000
4<-364,0.010000
4<-753,0.010000
4<-337,0.010000
4<-136,0.010000
4<-518,0.010000
4<-476,0.010000
4<-743,0.010000
4<-21,0.010000
4<-100,0.010000
4<-551,0.010000
4<-235,0.010000
4<-305,0.010000
4<-459,0.010000
4<-785,0.010000
4<-26,0.010000
4<-755,0.010000
4<-276,0.010000
4<-268,0.010000
4<-659,0.010000
4<-299,0.010000
4<-515,0.010000
4<-59,0.010000
4<-706,0.010000
4<-534,0.010000
4<-722,0.010000
4<-681,0.010000
4<-247,0.010000
4<-284,0.010000
4<-119,0.010000
4<-323,0.010000
4<-368,0.010000
4<-693,0.010000
4<-555,0.010000
4<-516,0.010000
4<-443,0.010000
5<-141,0.010000
5<-348,0.010000
5<-786,0.010000
5<-516,0.010000
5<-67,0.010000
5<-454,0.010000
5<-173,0.010000
5<-311,0.010000
5<-579,0.010000
5<-515,0.010000
5<-438,0.010000
5<-489,0.010000
5<-92,0.010000
5<-692,0.010000
5<-401,0.010000
5<-49,0.010000
5<-520,0.010000
5<-54,0.010000
5<-174,0.010000
5<-780,0.010000
5<-399,0.010000
