adjacency list, w
0<-960,0.100000
0<-843,0.100000
0<-992,0.100000
0<-974,0.100000
0<-829,0.100000
0<-901,0.100000
0<-921,0.100000
0<-900,0.100000
0<-979,0.100000
0<-821,0.100000
0<-886,0.100000
0<-975,0.100000
0<-988,0.100000
0<-999,0.100000
0<-876,0.100000
0<-948,0.100000
0<-882,0.100000
0<-938,0.100000
0<-946,0.100000
0<-817,0.100000
0<-800,0.100000
0<-977,0.100000
1<-977,0.100000
1<-850,0.100000
1<-970,0.100000
1<-903,0.100000
1<-866,0.100000
1<-947,0.100000
1<-963,0.100000
1<-931,0.100000
1<-885,0.100000
1<-914,0.100000
1<-922,0.100000
1<-995,0.100000
1<-818,0.100000
1<-979,0.100000
1<-876,0.100000
1<-856,0.100000
1<-932,0.100000
1<-939,0.100000
2<-890,0.100000
2<-877,0.100000
2<-808,0.100000
2<-875,0.100000
2<-806,0.100000
2<-842,0.100000
2<-880,0.100000
2<-996,0.100000
2<-817,0.100000
2<-944,0.100000
2<-848,0.100000
2<-972,0.100000
2<-991,0.100000
2<-961,0.100000
3<-816,0.100000
3<-958,0.100000
3<-820,0.100000
3<-832,0.100000
3<-847,0.100000
3<-952,0.100000
3<-812,0.100000
3<-976,0.100000
3<-929,0.100000
3<-860,0.100000
3<-946,0.100000
3<-912,0.100000
3<-944,0.100000
3<-811,0.100000
3<-806,0.100000
3<-914,0.100000
3<-968,0.100000
3<-903,0.100000
3<-865,0.100000
3<-819,0.100000
4<-985,0.100000
4<-859,0.100000
4<-835,0.100000
4<-802,0.100000
4<-840,0.100000
4<-934,0.100000
4<-981,0.100000
4<-827,0.100000
4<-823,0.100000
4<-963,0.100000
4<-843,0.100000
4<-969,0.100000
4<-937,0.100000
4<-959,0.100000
4<-956,0.100000
4<-903,0.100000
4<-980,0.100000
4<-988,0.100000
4<-994,0.100000
4<-928,0.100000
5<-953,0.100000
5<-874,0.100000
5<-821,0.100000
5<-815,0.100000
5<-847,0.100000
5<-820,0.100000
5<-906,0.100000
5<-927,0.100000
5<-971,0.100000
5<-871,0.100000
5<-831,0.100000
5<-811,0.100000
5<-897,0.100000
5<-947,0.100000
5<-921,0.100000
5<-983,0.100000
6<-944,0.100000
6<-957,0.100000
6<-906,0.100000
6<-816,0.100000
6<-853,0.100000
6<-907,0.100000
6<-837,0.100000
6<-970,0.100000
6<-893,0.100000
6<-983,0.100000
6<-954,0.100000
6<-909,0.100000
6<-901,0.100000
6<-895,0.100000
7<-996,0.100000
7<-832,0.100000
7<-801,0.100000
7<-873,0.100000
7<-885,0.100000
7<-896,0.100000
7<-816,0.100000
7<-988,0.100000
7<-849,0.100000
7<-970,0.100000
7<-848,0.100000
7<-918,0.100000
7<-827,0.100000
7<-927,0.100000
7<-838,0.100000
7<-844,0.100000
7<-821,0.100000
8<-945,0.100000
8<-952,0.100000
8<-808,0.100000
8<-878,0.100000
8<-861,0.100000
8<-955,0.100000
8<-932,0.100000
8<-957,0.100000
8<-969,0.100000
8<-984,0.100000
8<-887,0.100000
8<-915,0.100000
8<-818,0.100000
8<-898,0.100000
8<-836,0.100000
8<-884,0.100000
8<-999,0.100000
8<-997,0.100000
8<-909,0.100000
8<-839,0.100000
8<-860,0.100000
8<-994,0.100000
8<-840,0.100000
8<-958,0.100000
8<-886,0.100000
8<-905,0.100000
8<-866,0.100000
9<-828,0.100000
9<-948,0.100000
9<-901,0.100000
9<-995,0.100000
9<-959,0.100000
9<-983,0.100000
9<-931,0.100000
9<-897,0.100000
9<-836,0.100000
9<-861,0.100000
9<-809,0.100000
9<-881,0.100000
9<-848,0.100000
9<-949,0.100000
9<-919,0.100000
9<-804,0.100000
9<-839,0.100000
9<-868,0.100000
9<-907,0.100000
10<-955,0.100000
10<-983,0.100000
10<-843,0.100000
10<-809,0.100000
10<-874,0.100000
10<-820,0.100000
10<-814,0.100000
10<-967,0.100000
10<-838,0.100000
10<-963,0.100000
10<-831,0.100000
10<-957,0.100000
10<-861,0.100000
10<-924,0.100000
10<-929,0.100000
10<-940,0.100000
10<-998,0.100000
10<-928,0.100000
10<-885,0.100000
10<-822,0.100000
10<-812,0.100000
10<-864,0.100000
10<-927,0.100000
10<-866,0.100000
10<-896,0.100000
10<-941,0.100000
11<-913,0.100000
11<-885,0.100000
11<-803,0.100000
11<-994,0.100000
11<-849,0.100000
11<-912,0.100000
11<-925,0.100000
11<-847,0.100000
11<-989,0.100000
11<-855,0.100000
11<-871,0.100000
11<-853,0.100000
11<-950,0.100000
11<-888,0.100000
11<-991,0.100000
11<-838,0.100000
11<-957,0.100000
11<-940,0.100000
11<-893,0.100000
11<-919,0.100000
11<-878,0.100000
11<-804,0.100000
12<-920,0.100000
12<-832,0.100000
12<-936,0.100000
12<-857,0.100000
12<-815,0.100000
12<-800,0.100000
12<-877,0.100000
12<-891,0.100000
12<-824,0.100000
12<-881,0.100000
12<-821,0.100000
12<-812,0.100000
12<-945,0.100000
12<-849,0.100000
12<-976,0.100000
12<-845,0.100000
12<-804,0.100000
12<-880,0.100000
12<-834,0.100000
12<-927,0.100000
12<-911,0.100000
12<-816,0.100000
12<-866,0.100000
12<-882,0.100000
13<-897,0.100000
13<-902,0.100000
13<-820,0.100000
13<-909,0.100000
13<-952,0.100000
13<-806,0.100000
13<-824,0.100000
13<-845,0.100000
13<-889,0.100000
13<-811,0.100000
13<-871,0.100000
13<-814,0.100000
13<-970,0.100000
13<-850,0.100000
13<-827,0.100000
13<-938,0.100000
13<-998,0.100000
13<-906,0.100000
13<-810,0.100000
13<-901,0.100000
13<-877,0.100000
14<-877,0.100000
14<-970,0.100000
14<-803,0.100000
14<-972,0.100000
14<-891,0.100000
14<-840,0.100000
14<-837,0.100000
14<-993,0.100000
14<-872,0.100000
14<-955,0.100000
14<-874,0.100000
14<-994,0.100000
14<-925,0.100000
14<-816,0.100000
14<-894,0.100000
14<-870,0.100000
14<-830,0.100000
14<-900,0.100000
14<-829,0.100000
14<-873,0.100000
14<-833,0.100000
14<-921,0.100000
14<-901,0.100000
14<-801,0.100000
15<-827,0.100000
15<-975,0.100000
15<-942,0.100000
15<-837,0.100000
15<-916,0.100000
15<-990,0.100000
15<-849,0.100000
15<-965,0.100000
15<-943,0.100000
15<-920,0.100000
15<-809,0.100000
15<-819,0.100000
15<-856,0.100000
15<-935,0.100000
15<-957,0.100000
15<-989,0.100000
15<-964,0.100000
15<-800,0.100000
15<-867,0.100000
15<-897,0.100000
15<-913,0.100000
16<-890,0.100000
16<-961,0.100000
16<-802,0.100000
16<-972,0.100000
16<-975,0.100000
16<-931,0.100000
16<-911,0.100000
16<-808,0.100000
16<-917,0.100000
16<-880,0.100000
16<-828,0.100000
16<-946,0.100000
16<-950,0.100000
16<-964,0.100000
16<-831,0.100000
16<-952,0.100000
17<-866,0.100000
17<-857,0.100000
17<-996,0.100000
17<-836,0.100000
17<-801,0.100000
17<-821,0.100000
17<-871,0.100000
17<-978,0.100000
17<-928,0.100000
17<-957,0.100000
17<-981,0.100000
17<-911,0.100000
17<-990,0.100000
17<-848,0.100000
17<-843,0.100000
17<-929,0.100000
17<-823,0.100000
17<-914,0.100000
17<-800,0.100000
18<-989,0.100000
18<-932,0.100000
18<-811,0.100000
18<-971,0.100000
18<-843,0.100000
18<-829,0.100000
18<-933,0.100000
18<-958,0.100000
18<-890,0.100000
18<-969,0.100000
18<-905,0.100000
18<-814,0.100000
18<-876,0.100000
18<-899,0.100000
18<-880,0.100000
18<-977,0.100000
18<-938,0.100000
18<-861,0.100000
18<-815,0.100000
18<-956,0.100000
18<-836,0.100000
18<-984,0.100000
18<-914,0.100000
18<-889,0.100000
18<-972,0.100000
18<-996,0.100000
18<-911,0.100000
19<-945,0.100000
19<-889,0.100000
19<-886,0.100000
19<-968,0.100000
19<-920,0.100000
19<-909,0.100000
19<-995,0.100000
19<-817,0.100000
19<-908,0.100000
19<-898,0.100000
19<-818,0.100000
19<-801,0.100000
19<-825,0.100000
19<-853,0.100000
19<-982,0.100000
20<-984,0.100000
20<-830,0.100000
20<-911,0.100000
20<-948,0.100000
20<-989,0.100000
20<-952,0.100000
20<-962,0.100000
20<-993,0.100000
20<-873,0.100000
20<-978,0.100000
20<-869,0.100000
20<-953,0.100000
20<-881,0.100000
20<-907,0.100000
20<-965,0.100000
20<-922,0.100000
20<-921,0.100000
20<-982,0.100000
20<-945,0.100000
20<-847,0.100000
20<-834,0.100000
20<-963,0.100000
20<-947,0.100000
20<-902,0.100000
21<-997,0.100000
21<-960,0.100000
21<-888,0.100000
21<-865,0.100000
21<-917,0.100000
21<-815,0.100000
21<-803,0.100000
21<-816,0.100000
21<-937,0.100000
21<-832,0.100000
21<-873,0.100000
21<-883,0.100000
21<-922,0.100000
21<-954,0.100000
21<-966,0.100000
21<-916,0.100000
21<-941,0.100000
21<-909,0.100000
22<-819,0.100000
22<-942,0.100000
22<-977,0.100000
22<-861,0.100000
22<-877,0.100000
22<-836,0.100000
22<-862,0.100000
22<-856,0.100000
22<-882,0.100000
22<-894,0.100000
22<-802,0.100000
22<-911,0.100000
22<-830,0.100000
22<-881,0.100000
22<-829,0.100000
22<-972,0.100000
22<-825,0.100000
22<-902,0.100000
22<-846,0.100000
22<-904,0.100000
23<-827,0.100000
23<-834,0.100000
23<-912,0.100000
23<-956,0.100000
23<-838,0.100000
23<-938,0.100000
23<-988,0.100000
23<-945,0.100000
23<-934,0.100000
23<-904,0.100000
23<-894,0.100000
23<-892,0.100000
23<-809,0.100000
23<-823,0.100000
23<-884,0.100000
23<-973,0.100000
23<-803,0.100000
23<-839,0.100000
23<-888,0.100000
23<-933,0.100000
23<-854,0.100000
23<-821,0.100000
24<-967,0.100000
24<-887,0.100000
24<-908,0.100000
24<-986,0.100000
24<-963,0.100000
24<-844,0.100000
24<-865,0.100000
24<-955,0.100000
24<-991,0.100000
24<-984,0.100000
24<-850,0.100000
24<-983,0.100000
24<-820,0.100000
24<-879,0.100000
24<-954,0.100000
24<-952,0.100000
25<-858,0.100000
25<-925,0.100000
25<-956,0.100000
25<-903,0.100000
25<-821,0.100000
25<-949,0.100000
25<-850,0.100000
25<-994,0.100000
25<-868,0.100000
25<-881,0.100000
25<-856,0.100000
25<-839,0.100000
25<-985,0.100000
25<-844,0.100000
25<-911,0.100000
25<-919,0.100000
25<-874,0.100000
25<-996,0.100000
25<-882,0.100000
25<-921,0.100000
26<-882,0.100000
26<-848,0.100000
26<-852,0.100000
26<-952,0.100000
26<-810,0.100000
26<-824,0.100000
26<-925,0.100000
26<-883,0.100000
26<-888,0.100000
26<-951,0.100000
26<-938,0.100000
26<-911,0.100000
26<-855,0.100000
26<-921,0.100000
26<-900,0.100000
26<-970,0.100000
26<-990,0.100000
26<-808,0.100000
26<-832,0.100000
26<-963,0.100000
26<-934,0.100000
27<-832,0.100000
27<-930,0.100000
27<-852,0.100000
27<-892,0.100000
27<-926,0.100000
27<-857,0.100000
27<-818,0.100000
27<-882,0.100000
27<-910,0.100000
27<-965,0.100000
27<-807,0.100000
27<-909,0.100000
27<-913,0.100000
27<-866,0.100000
27<-949,0.100000
28<-814,0.100000
28<-984,0.100000
28<-960,0.100000
28<-891,0.100000
28<-875,0.100000
28<-857,0.100000
28<-995,0.100000
28<-989,0.100000
28<-943,0.100000
28<-928,0.100000
28<-998,0.100000
28<-939,0.100000
28<-800,0.100000
28<-833,0.100000
28<-836,0.100000
28<-835,0.100000
28<-992,0.100000
28<-973,0.100000
28<-980,0.100000
29<-983,0.100000
29<-869,0.100000
29<-851,0.100000
29<-984,0.100000
29<-870,0.100000
29<-891,0.100000
29<-856,0.100000
29<-914,0.100000
29<-987,0.100000
29<-968,0.100000
29<-971,0.100000
29<-821,0.100000
29<-969,0.100000
29<-842,0.100000
29<-874,0.100000
29<-802,0.100000
29<-892,0.100000
29<-937,0.100000
30<-843,0.100000
30<-953,0.100000
30<-884,0.100000
30<-874,0.100000
30<-852,0.100000
30<-812,0.100000
30<-864,0.100000
30<-821,0.100000
30<-811,0.100000
30<-805,0.100000
30<-887,0.100000
30<-974,0.100000
30<-800,0.100000
30<-826,0.100000
30<-983,0.100000
30<-857,0.100000
30<-975,0.100000
31<-856,0.100000
31<-842,0.100000
31<-821,0.100000
31<-830,0.100000
31<-934,0.100000
31<-907,0.100000
31<-963,0.100000
31<-924,0.100000
31<-846,0.100000
31<-827,0.100000
31<-900,0.100000
31<-823,0.100000
31<-951,0.100000
31<-817,0.100000
31<-902,0.100000
31<-822,0.100000
31<-904,0.100000
31<-967,0.100000
32<-923,0.100000
32<-901,0.100000
32<-981,0.100000
32<-852,0.100000
32<-855,0.100000
32<-806,0.100000
32<-962,0.100000
32<-982,0.100000
32<-919,0.100000
32<-846,0.100000
32<-986,0.100000
32<-814,0.100000
32<-978,0.100000
32<-842,0.100000
32<-831,0.100000
32<-808,0.100000
32<-800,0.100000
32<-997,0.100000
32<-817,0.100000
32<-886,0.100000
33<-882,0.100000
33<-934,0.100000
33<-988,0.100000
33<-825,0.100000
33<-913,0.100000
33<-922,0.100000
33<-875,0.100000
33<-899,0.100000
33<-826,0.100000
33<-955,0.100000
33<-827,0.100000
33<-953,0.100000
33<-858,0.100000
33<-940,0.100000
33<-915,0.100000
33<-944,0.100000
33<-847,0.100000
33<-990,0.100000
33<-930,0.100000
33<-916,0.100000
33<-832,0.100000
33<-965,0.100000
34<-889,0.100000
34<-941,0.100000
34<-956,0.100000
34<-924,0.100000
34<-807,0.100000
34<-886,0.100000
34<-970,0.100000
34<-959,0.100000
34<-876,0.100000
34<-979,0.100000
34<-820,0.100000
34<-879,0.100000
34<-951,0.100000
34<-974,0.100000
34<-943,0.100000
34<-852,0.100000
34<-869,0.100000
34<-936,0.100000
34<-888,0.100000
34<-934,0.100000
34<-965,0.100000
34<-980,0.100000
35<-892,0.100000
35<-986,0.100000
35<-900,0.100000
35<-833,0.100000
35<-946,0.100000
35<-980,0.100000
35<-989,0.100000
35<-800,0.100000
35<-993,0.100000
35<-845,0.100000
35<-948,0.100000
35<-991,0.100000
35<-885,0.100000
35<-819,0.100000
35<-893,0.100000
35<-808,0.100000
35<-846,0.100000
35<-852,0.100000
35<-931,0.100000
35<-916,0.100000
35<-835,0.100000
35<-812,0.100000
35<-801,0.100000
35<-921,0.100000
36<-933,0.100000
36<-820,0.100000
36<-854,0.100000
36<-817,0.100000
36<-923,0.100000
36<-841,0.100000
36<-810,0.100000
36<-819,0.100000
36<-883,0.100000
36<-823,0.100000
36<-951,0.100000
36<-959,0.100000
36<-812,0.100000
36<-851,0.100000
36<-888,0.100000
36<-956,0.100000
36<-972,0.100000
36<-807,0.100000
36<-925,0.100000
36<-805,0.100000
36<-908,0.100000
36<-873,0.100000
37<-893,0.100000
37<-817,0.100000
37<-829,0.100000
37<-940,0.100000
37<-824,0.100000
37<-937,0.100000
37<-860,0.100000
37<-833,0.100000
37<-803,0.100000
37<-925,0.100000
37<-855,0.100000
37<-857,0.100000
37<-867,0.100000
37<-994,0.100000
37<-913,0.100000
37<-880,0.100000
37<-970,0.100000
38<-978,0.100000
38<-800,0.100000
38<-880,0.100000
38<-889,0.100000
38<-975,0.100000
38<-834,0.100000
38<-938,0.100000
38<-883,0.100000
38<-841,0.100000
38<-988,0.100000
38<-878,0.100000
38<-939,0.100000
38<-945,0.100000
38<-820,0.100000
38<-817,0.100000
